time,n_maps,n_reduces,n_shuffles
28.57900,40,0,64
28.61000,40,0,64
28.64600,40,0,64
28.67500,40,0,64
28.70900,40,0,64
28.74000,40,0,64
28.77400,40,0,64
28.80500,40,0,64
28.84100,40,0,64
28.87000,40,0,64
28.90400,40,0,64
28.93500,40,0,64
28.96900,40,0,64
29.03400,39,0,64
29.10000,38,0,64
29.16500,37,0,64
29.23000,36,0,64
29.29500,35,0,64
29.36000,34,0,64
29.42500,33,0,64
30.17900,33,0,64
30.22800,34,0,64
30.27600,35,0,64
30.32500,36,0,64
30.37400,37,0,64
30.42300,38,0,64
30.47200,39,0,64
30.52000,40,0,64
30.56900,41,0,64
30.61800,42,0,64
30.66700,43,0,64
30.71600,44,0,64
30.76400,45,0,64
30.81300,46,0,64
30.86200,47,0,64
30.91100,48,0,64
30.97700,49,0,64
31.04100,50,0,64
31.10600,51,0,64
31.17300,52,0,64
31.23600,53,0,64
31.30100,54,0,64
31.36800,55,0,64
31.43100,56,0,64
31.49600,57,0,64
31.56100,58,0,64
31.62600,59,0,64
31.69100,60,0,64
31.75600,61,0,64
31.82100,62,0,64
31.88600,63,0,64
31.95100,64,0,64
33.69900,64,0,64
33.74800,63,0,64
33.79700,62,0,64
33.84600,61,0,64
33.89400,60,0,64
33.94300,59,0,64
33.97700,58,0,64
34.02600,57,0,64
34.07500,56,0,64
34.13800,55,0,64
34.17300,54,0,64
34.22100,53,0,64
34.27000,52,0,64
34.33400,51,0,64
34.36800,50,0,64
34.41700,49,0,64
34.48300,48,0,64
34.54700,47,0,64
34.61200,46,0,64
34.67800,45,0,64
34.74200,44,0,64
34.80700,43,0,64
34.87400,42,0,64
34.93700,41,0,64
35.00200,40,0,64
35.06700,39,0,64
35.13200,38,0,64
35.19700,37,0,64
35.26200,36,0,64
35.32700,35,0,64
35.39200,34,0,64
35.45700,33,0,64
36.21100,33,0,64
36.26000,34,0,64
36.30900,35,0,64
36.35800,36,0,64
36.40700,37,0,64
36.45500,38,0,64
36.50400,39,0,64
36.55300,40,0,64
36.60200,41,0,64
36.65000,42,0,64
36.69900,43,0,64
36.73200,43,0,64
