task_id,mrsg_phase,worker_id,time,action,shuffle_end
0_58_0,MRSG_MAP,26,11.049,END,0.000
0_59_0,MRSG_MAP,27,11.065,END,0.000
0_60_0,MRSG_MAP,28,11.082,END,0.000
0_61_0,MRSG_MAP,29,11.098,END,0.000
0_62_0,MRSG_MAP,30,11.114,END,0.000
0_63_0,MRSG_MAP,31,11.130,END,0.000
0_96_0,MRSG_MAP,0,12.081,START,
1_32_0,MRSG_REDUCE,0,12.098,START,
0_97_0,MRSG_MAP,1,12.130,START,
1_33_0,MRSG_REDUCE,1,12.146,START,
0_98_0,MRSG_MAP,2,12.179,START,
1_34_0,MRSG_REDUCE,2,12.195,START,
0_99_0,MRSG_MAP,3,12.228,START,
1_35_0,MRSG_REDUCE,3,12.244,START,
0_100_0,MRSG_MAP,4,12.276,START,
1_36_0,MRSG_REDUCE,4,12.293,START,
0_101_0,MRSG_MAP,5,12.325,START,
1_37_0,MRSG_REDUCE,5,12.342,START,
0_102_0,MRSG_MAP,6,12.374,START,
1_38_0,MRSG_REDUCE,6,12.390,START,
0_103_0,MRSG_MAP,7,12.423,START,
1_39_0,MRSG_REDUCE,7,12.439,START,
0_104_0,MRSG_MAP,8,12.472,START,
1_40_0,MRSG_REDUCE,8,12.488,START,
0_105_0,MRSG_MAP,9,12.520,START,
1_41_0,MRSG_REDUCE,9,12.537,START,
0_106_0,MRSG_MAP,10,12.569,START,
1_42_0,MRSG_REDUCE,10,12.585,START,
0_107_0,MRSG_MAP,11,12.618,START,
1_43_0,MRSG_REDUCE,11,12.634,START,
0_108_0,MRSG_MAP,12,12.667,START,
1_44_0,MRSG_REDUCE,12,12.683,START,
0_109_0,MRSG_MAP,13,12.716,START,
1_45_0,MRSG_REDUCE,13,12.732,START,
0_110_0,MRSG_MAP,14,12.764,START,
1_46_0,MRSG_REDUCE,14,12.781,START,
0_111_0,MRSG_MAP,15,12.813,START,
1_47_0,MRSG_REDUCE,15,12.829,START,
0_112_0,MRSG_MAP,16,12.878,START,
1_48_0,MRSG_REDUCE,16,12.894,START,
0_113_0,MRSG_MAP,17,12.943,START,
1_49_0,MRSG_REDUCE,17,12.959,START,
0_114_0,MRSG_MAP,18,13.008,START,
1_50_0,MRSG_REDUCE,18,13.025,START,
0_115_0,MRSG_MAP,19,13.073,START,
1_51_0,MRSG_REDUCE,19,13.090,START,
0_116_0,MRSG_MAP,20,13.138,START,
1_52_0,MRSG_REDUCE,20,13.155,START,
0_117_0,MRSG_MAP,21,13.203,START,
1_53_0,MRSG_REDUCE,21,13.220,START,
0_118_0,MRSG_MAP,22,13.268,START,
1_54_0,MRSG_REDUCE,22,13.285,START,
0_119_0,MRSG_MAP,23,13.334,START,
1_55_0,MRSG_REDUCE,23,13.350,START,
0_120_0,MRSG_MAP,24,13.399,START,
1_56_0,MRSG_REDUCE,24,13.415,START,
0_121_0,MRSG_MAP,25,13.464,START,
1_57_0,MRSG_REDUCE,25,13.480,START,
0_122_0,MRSG_MAP,26,13.529,START,
1_58_0,MRSG_REDUCE,26,13.545,START,
0_123_0,MRSG_MAP,27,13.594,START,
1_59_0,MRSG_REDUCE,27,13.610,START,
0_124_0,MRSG_MAP,28,13.659,START,
1_60_0,MRSG_REDUCE,28,13.675,START,
0_125_0,MRSG_MAP,29,13.724,START,
1_61_0,MRSG_REDUCE,29,13.740,START,
0_126_0,MRSG_MAP,30,13.789,START,
1_62_0,MRSG_REDUCE,30,13.805,START,
0_127_0,MRSG_MAP,31,13.854,START,
1_63_0,MRSG_REDUCE,31,13.870,START,
0_64_0,MRSG_MAP,0,15.602,END,0.000
0_65_0,MRSG_MAP,1,15.650,END,0.000
0_66_0,MRSG_MAP,2,15.699,END,0.000
0_67_0,MRSG_MAP,3,15.748,END,0.000
0_68_0,MRSG_MAP,4,15.797,END,0.000
0_69_0,MRSG_MAP,5,15.846,END,0.000
0_70_0,MRSG_MAP,6,15.880,END,0.000
0_71_0,MRSG_MAP,7,15.929,END,0.000
0_72_0,MRSG_MAP,8,15.977,END,0.000
0_73_0,MRSG_MAP,9,16.041,END,0.000
0_74_0,MRSG_MAP,10,16.075,END,0.000
0_75_0,MRSG_MAP,11,16.124,END,0.000
0_76_0,MRSG_MAP,12,16.173,END,0.000
0_77_0,MRSG_MAP,13,16.236,END,0.000
0_78_0,MRSG_MAP,14,16.270,END,0.000
0_79_0,MRSG_MAP,15,16.319,END,0.000
0_80_0,MRSG_MAP,16,16.384,END,0.000
0_81_0,MRSG_MAP,17,16.449,END,0.000
0_82_0,MRSG_MAP,18,16.514,END,0.000
0_83_0,MRSG_MAP,19,16.579,END,0.000
0_84_0,MRSG_MAP,20,16.644,END,0.000
0_85_0,MRSG_MAP,21,16.709,END,0.000
0_86_0,MRSG_MAP,22,16.774,END,0.000
0_87_0,MRSG_MAP,23,16.839,END,0.000
0_88_0,MRSG_MAP,24,16.904,END,0.000
0_89_0,MRSG_MAP,25,16.969,END,0.000
0_90_0,MRSG_MAP,26,17.034,END,0.000
0_91_0,MRSG_MAP,27,17.100,END,0.000
0_92_0,MRSG_MAP,28,17.165,END,0.000
0_93_0,MRSG_MAP,29,17.230,END,0.000
0_94_0,MRSG_MAP,30,17.295,END,0.000
0_95_0,MRSG_MAP,31,17.360,END,0.000
0_128_0,MRSG_MAP,0,18.114,START,
0_129_0,MRSG_MAP,1,18.163,START,
0_130_0,MRSG_MAP,2,18.211,START,
0_131_0,MRSG_MAP,3,18.260,START,
0_132_0,MRSG_MAP,4,18.309,START,
0_133_0,MRSG_MAP,5,18.358,START,
0_134_0,MRSG_MAP,6,18.407,START,
0_135_0,MRSG_MAP,7,18.455,START,
0_136_0,MRSG_MAP,8,18.504,START,
0_137_0,MRSG_MAP,9,18.553,START,
0_138_0,MRSG_MAP,10,18.602,START,
0_96_0,MRSG_MAP,0,18.634,END,0.000
0_139_0,MRSG_MAP,11,18.650,START,
0_97_0,MRSG_MAP,1,18.683,END,0.000
0_140_0,MRSG_MAP,12,18.699,START,
0_98_0,MRSG_MAP,2,18.732,END,0.000
0_141_0,MRSG_MAP,13,18.748,START,
0_99_0,MRSG_MAP,3,18.781,END,0.000
0_142_0,MRSG_MAP,14,18.797,START,
0_100_0,MRSG_MAP,4,18.829,END,0.000
0_143_0,MRSG_MAP,15,18.846,START,
0_101_0,MRSG_MAP,5,18.878,END,0.000
0_102_0,MRSG_MAP,6,18.896,END,0.000
0_144_0,MRSG_MAP,16,18.912,START,
0_103_0,MRSG_MAP,7,18.945,END,0.000
0_145_0,MRSG_MAP,17,18.976,START,
0_104_0,MRSG_MAP,8,19.008,END,0.000
0_146_0,MRSG_MAP,18,19.041,START,
0_105_0,MRSG_MAP,9,19.073,END,0.000
0_106_0,MRSG_MAP,10,19.091,END,0.000
0_147_0,MRSG_MAP,19,19.108,START,
0_107_0,MRSG_MAP,11,19.140,END,0.000
0_148_0,MRSG_MAP,20,19.171,START,
0_108_0,MRSG_MAP,12,19.203,END,0.000
0_149_0,MRSG_MAP,21,19.236,START,
0_109_0,MRSG_MAP,13,19.268,END,0.000
0_110_0,MRSG_MAP,14,19.286,END,0.000
0_150_0,MRSG_MAP,22,19.303,START,
0_111_0,MRSG_MAP,15,19.335,END,0.000
0_151_0,MRSG_MAP,23,19.366,START,
0_112_0,MRSG_MAP,16,19.400,END,0.000
0_152_0,MRSG_MAP,24,19.431,START,
0_113_0,MRSG_MAP,17,19.465,END,0.000
0_153_0,MRSG_MAP,25,19.496,START,
0_114_0,MRSG_MAP,18,19.530,END,0.000
0_154_0,MRSG_MAP,26,19.561,START,
0_115_0,MRSG_MAP,19,19.595,END,0.000
0_155_0,MRSG_MAP,27,19.626,START,
0_116_0,MRSG_MAP,20,19.660,END,0.000
0_156_0,MRSG_MAP,28,19.691,START,
0_117_0,MRSG_MAP,21,19.726,END,0.000
0_157_0,MRSG_MAP,29,19.756,START,
0_118_0,MRSG_MAP,22,19.791,END,0.000
0_158_0,MRSG_MAP,30,19.821,START,
0_119_0,MRSG_MAP,23,19.856,END,0.000
0_159_0,MRSG_MAP,31,19.886,START,
0_120_0,MRSG_MAP,24,19.921,END,0.000
0_121_0,MRSG_MAP,25,19.986,END,0.000
0_122_0,MRSG_MAP,26,20.051,END,0.000
0_123_0,MRSG_MAP,27,20.116,END,0.000
0_124_0,MRSG_MAP,28,20.181,END,0.000
0_125_0,MRSG_MAP,29,20.246,END,0.000
0_126_0,MRSG_MAP,30,20.311,END,0.000
0_127_0,MRSG_MAP,31,20.376,END,0.000
0_160_0,MRSG_MAP,0,21.130,START,
0_161_0,MRSG_MAP,1,21.179,START,
0_162_0,MRSG_MAP,2,21.228,START,
0_163_0,MRSG_MAP,3,21.276,START,
0_164_0,MRSG_MAP,4,21.325,START,
0_165_0,MRSG_MAP,5,21.374,START,
0_166_0,MRSG_MAP,6,21.423,START,
0_167_0,MRSG_MAP,7,21.472,START,
0_168_0,MRSG_MAP,8,21.520,START,
0_169_0,MRSG_MAP,9,21.569,START,
0_170_0,MRSG_MAP,10,21.618,START,
0_171_0,MRSG_MAP,11,21.667,START,
0_172_0,MRSG_MAP,12,21.716,START,
0_173_0,MRSG_MAP,13,21.764,START,
0_174_0,MRSG_MAP,14,21.813,START,
0_175_0,MRSG_MAP,15,21.862,START,
0_176_0,MRSG_MAP,16,21.929,START,
0_177_0,MRSG_MAP,17,21.992,START,
0_178_0,MRSG_MAP,18,22.057,START,
0_179_0,MRSG_MAP,19,22.124,START,
0_180_0,MRSG_MAP,20,22.187,START,
0_181_0,MRSG_MAP,21,22.252,START,
0_182_0,MRSG_MAP,22,22.319,START,
0_183_0,MRSG_MAP,23,22.382,START,
0_184_0,MRSG_MAP,24,22.447,START,
0_185_0,MRSG_MAP,25,22.512,START,
0_186_0,MRSG_MAP,26,22.577,START,
0_187_0,MRSG_MAP,27,22.643,START,
0_188_0,MRSG_MAP,28,22.708,START,
0_189_0,MRSG_MAP,29,22.773,START,
0_190_0,MRSG_MAP,30,22.838,START,
0_191_0,MRSG_MAP,31,22.903,START,
0_128_0,MRSG_MAP,0,24.650,END,0.000
0_129_0,MRSG_MAP,1,24.699,END,0.000
0_130_0,MRSG_MAP,2,24.748,END,0.000
0_131_0,MRSG_MAP,3,24.797,END,0.000
0_132_0,MRSG_MAP,4,24.846,END,0.000
0_133_0,MRSG_MAP,5,24.894,END,0.000
0_134_0,MRSG_MAP,6,24.929,END,0.000
0_135_0,MRSG_MAP,7,24.977,END,0.000
0_136_0,MRSG_MAP,8,25.026,END,0.000
0_137_0,MRSG_MAP,9,25.090,END,0.000
0_138_0,MRSG_MAP,10,25.124,END,0.000
0_139_0,MRSG_MAP,11,25.173,END,0.000
0_140_0,MRSG_MAP,12,25.221,END,0.000
0_141_0,MRSG_MAP,13,25.285,END,0.000
0_142_0,MRSG_MAP,14,25.319,END,0.000
0_143_0,MRSG_MAP,15,25.368,END,0.000
0_144_0,MRSG_MAP,16,25.434,END,0.000
0_145_0,MRSG_MAP,17,25.498,END,0.000
0_146_0,MRSG_MAP,18,25.563,END,0.000
0_147_0,MRSG_MAP,19,25.630,END,0.000
0_148_0,MRSG_MAP,20,25.693,END,0.000
0_149_0,MRSG_MAP,21,25.758,END,0.000
0_150_0,MRSG_MAP,22,25.825,END,0.000
0_151_0,MRSG_MAP,23,25.888,END,0.000
0_152_0,MRSG_MAP,24,25.953,END,0.000
0_153_0,MRSG_MAP,25,26.018,END,0.000
0_154_0,MRSG_MAP,26,26.083,END,0.000
0_155_0,MRSG_MAP,27,26.148,END,0.000
0_156_0,MRSG_MAP,28,26.213,END,0.000
0_157_0,MRSG_MAP,29,26.278,END,0.000
0_158_0,MRSG_MAP,30,26.343,END,0.000
0_159_0,MRSG_MAP,31,26.409,END,0.000
0_192_0,MRSG_MAP,0,27.163,START,
0_193_0,MRSG_MAP,1,27.211,START,
0_194_0,MRSG_MAP,2,27.260,START,
0_195_0,MRSG_MAP,3,27.309,START,
0_196_0,MRSG_MAP,4,27.358,START,
0_197_0,MRSG_MAP,5,27.407,START,
0_198_0,MRSG_MAP,6,27.455,START,
0_199_0,MRSG_MAP,7,27.504,START,
0_200_0,MRSG_MAP,8,27.553,START,
0_201_0,MRSG_MAP,9,27.602,START,
0_202_0,MRSG_MAP,10,27.650,START,
0_160_0,MRSG_MAP,0,27.683,END,0.000
0_203_0,MRSG_MAP,11,27.699,START,
0_161_0,MRSG_MAP,1,27.732,END,0.000
0_204_0,MRSG_MAP,12,27.748,START,
0_162_0,MRSG_MAP,2,27.781,END,0.000
0_205_0,MRSG_MAP,13,27.797,START,
0_163_0,MRSG_MAP,3,27.829,END,0.000
0_206_0,MRSG_MAP,14,27.846,START,
0_164_0,MRSG_MAP,4,27.878,END,0.000
0_207_0,MRSG_MAP,15,27.894,START,
