task_id,mrsg_phase,worker_id,time,action,shuffle_end
0_77_0,MRSG_MAP,1,6.047,START,
1_13_0,MRSG_REDUCE,1,6.048,START,
0_73_0,MRSG_MAP,29,6.051,END,0.000
0_78_0,MRSG_MAP,2,6.052,START,
1_14_0,MRSG_REDUCE,2,6.053,START,
0_74_0,MRSG_MAP,30,6.056,END,0.000
0_67_0,MRSG_MAP,3,6.057,START,
1_15_0,MRSG_REDUCE,3,6.059,START,
0_80_0,MRSG_MAP,4,6.061,START,
1_16_0,MRSG_REDUCE,4,6.062,START,
0_63_0,MRSG_MAP,31,6.065,END,0.000
0_81_0,MRSG_MAP,5,6.066,START,
1_17_0,MRSG_REDUCE,5,6.068,START,
0_77_0,MRSG_MAP,1,6.070,END,0.000
0_82_0,MRSG_MAP,6,6.072,START,
1_18_0,MRSG_REDUCE,6,6.073,START,
0_78_0,MRSG_MAP,2,6.075,END,0.000
0_71_0,MRSG_MAP,7,6.077,START,
1_19_0,MRSG_REDUCE,7,6.078,START,
0_72_0,MRSG_MAP,8,6.081,START,
1_20_0,MRSG_REDUCE,8,6.082,START,
0_67_0,MRSG_MAP,3,6.085,END,0.000
0_85_0,MRSG_MAP,9,6.086,START,
1_21_0,MRSG_REDUCE,9,6.087,START,
0_80_0,MRSG_MAP,4,6.090,END,0.000
0_86_0,MRSG_MAP,10,6.091,START,
1_22_0,MRSG_REDUCE,10,6.092,START,
0_81_0,MRSG_MAP,5,6.095,END,0.000
0_76_0,MRSG_MAP,12,6.096,START,
1_23_0,MRSG_REDUCE,12,6.098,START,
0_89_0,MRSG_MAP,13,6.100,START,
1_24_0,MRSG_REDUCE,13,6.101,START,
0_82_0,MRSG_MAP,6,6.104,END,0.000
0_90_0,MRSG_MAP,14,6.105,START,
1_25_0,MRSG_REDUCE,14,6.107,START,
0_71_0,MRSG_MAP,7,6.109,END,0.000
0_79_0,MRSG_MAP,15,6.111,START,
1_26_0,MRSG_REDUCE,15,6.112,START,
0_72_0,MRSG_MAP,8,6.114,END,0.000
0_92_0,MRSG_MAP,16,6.116,START,
1_27_0,MRSG_REDUCE,16,6.117,START,
0_93_0,MRSG_MAP,17,6.120,START,
1_28_0,MRSG_REDUCE,17,6.121,START,
0_85_0,MRSG_MAP,9,6.124,END,0.000
0_94_0,MRSG_MAP,18,6.125,START,
1_29_0,MRSG_REDUCE,18,6.126,START,
0_86_0,MRSG_MAP,10,6.129,END,0.000
0_83_0,MRSG_MAP,19,6.130,START,
1_30_0,MRSG_REDUCE,19,6.131,START,
0_84_0,MRSG_MAP,20,6.134,START,
1_31_0,MRSG_REDUCE,20,6.135,START,
0_76_0,MRSG_MAP,12,6.138,END,0.000
0_97_0,MRSG_MAP,21,6.139,START,
1_32_0,MRSG_REDUCE,21,6.141,START,
0_89_0,MRSG_MAP,13,6.143,END,0.000
0_87_0,MRSG_MAP,23,6.144,START,
1_33_0,MRSG_REDUCE,23,6.146,START,
0_90_0,MRSG_MAP,14,6.148,END,0.000
0_88_0,MRSG_MAP,24,6.150,START,
1_34_0,MRSG_REDUCE,24,6.151,START,
0_79_0,MRSG_MAP,15,6.154,END,0.000
0_101_0,MRSG_MAP,25,6.155,START,
1_35_0,MRSG_REDUCE,25,6.156,START,
0_92_0,MRSG_MAP,16,6.159,END,0.000
0_93_0,MRSG_MAP,17,6.160,END,0.000
0_94_0,MRSG_MAP,18,6.161,END,0.000
0_83_0,MRSG_MAP,19,6.163,END,0.000
0_84_0,MRSG_MAP,20,6.164,END,0.000
0_97_0,MRSG_MAP,21,6.165,END,0.000
0_87_0,MRSG_MAP,23,6.167,END,0.000
0_88_0,MRSG_MAP,24,6.168,END,0.000
0_101_0,MRSG_MAP,25,6.169,END,0.000
0_96_0,MRSG_MAP,0,9.005,START,
1_36_0,MRSG_REDUCE,0,9.007,START,
0_96_0,MRSG_MAP,0,9.009,END,0.000
0_107_0,MRSG_MAP,11,9.010,START,
1_37_0,MRSG_REDUCE,11,9.012,START,
0_107_0,MRSG_MAP,11,9.014,END,0.000
0_98_0,MRSG_MAP,22,9.016,START,
1_38_0,MRSG_REDUCE,22,9.017,START,
0_98_0,MRSG_MAP,22,9.020,END,0.000
0_102_0,MRSG_MAP,26,9.021,START,
1_39_0,MRSG_REDUCE,26,9.022,START,
0_102_0,MRSG_MAP,26,9.025,END,0.000
0_91_0,MRSG_MAP,27,9.026,START,
1_40_0,MRSG_REDUCE,27,9.027,START,
0_104_0,MRSG_MAP,28,9.030,START,
1_41_0,MRSG_REDUCE,28,9.031,START,
0_91_0,MRSG_MAP,27,9.034,END,0.000
0_104_0,MRSG_MAP,28,9.035,END,0.000
0_105_0,MRSG_MAP,29,9.036,START,
1_42_0,MRSG_REDUCE,29,9.038,START,
0_106_0,MRSG_MAP,30,9.040,START,
1_43_0,MRSG_REDUCE,30,9.042,START,
0_105_0,MRSG_MAP,29,9.044,END,0.000
0_106_0,MRSG_MAP,30,9.046,END,0.000
0_95_0,MRSG_MAP,31,9.047,START,
1_44_0,MRSG_REDUCE,31,9.048,START,
0_109_0,MRSG_MAP,1,9.051,START,
